顧客ID,生年月日,性別,携帯TEL,自宅TEL,携帯メール,PCメール,職業
"023622129","19940218","女","有","無","有","無","会社員"
"023622152","19840903","男","有","無","無","有","会社員"
"023652069","19890918","女","有","無","有","無","会社員"
"023711020","19740617","女","有","有","有","有","会社員"
"023712128","19890421","女","有","無","有","無","会社員"
"023712276","19890213","男","有","有","無","有","会社員"
"023752077","19771204","女","有","有","有","有","会社員"
"023812262","19830521","女","有","無","有","無","パート・アルバイト"
"024652010","19800522","女","有","無","有","有","会社員"
"025122303","19870304","女","有","無","無","有","会社員"
"025152055","19691124","女","有","有","無","有","その他"
"025152116","19771203","男","有","無","無","有","会社員"
"025152189","19700411","男","有","有","無","有","会社員"
"025152203","19631201","男","有","有","無","有","会社員"
"025152370","19731127","男","有","無","有","無","会社員"
"025152380","19670906","男","有","無","無","有","自営業"
"025212253","19720405","女","有","有","有","無",""
"025222119","19890224","女","有","無","有","無","主婦"
"025232060","19870618","女","有","有","有","有","会社員"
"025252167","19840703","男","有","無","有","無","会社員"
"025322055","19700925","女","有","無","無","有","パート・アルバイト"
"025412057","19861008","女","有","無","無","有","会社員"
"025412198","19731110","女","有","無","有","無","その他"
"025412315","19890307","女","有","無","有","無","学生"
"025432075","19850925","男","有","無","無","有","会社員"
"025442046","19880528","女","有","無","無","有",""
"025522046","19780511","女","有","無","有","無","その他"
"025632109","19791224","女","有","無","無","有","主婦"
"025752024","19651231","女","有","有","有","無","会社員"
"025812169","19550910","女","有","有","有","無",""
"025852013","19760421","女","有","有","無","有","会社員"
"025852016","19580911","女","有","有","有","有","自営業"
"025912124","19780519","女","有","無","有","無","パート・アルバイト"
"026452052","19810907","女","有","無","無","有","会社員"
"026512135","19720717","男","有","無","無","有","会社員"
"026512154","19920911","女","有","無","有","有","パート・アルバイト"
"026552042","19950201","女","有","無","有","無","会社員"
"026552045","19870223","女","有","無","無","有","主婦"
"026632016","19670826","女","有","無","無","有","会社員"
"026652043","19750314","女","有","無","無","有","会社員"
"027122107","19910609","女","有","無","有","無","パート・アルバイト"
"028112051","19850220","女","有","有","有","有","会社員"
"028132089","19791203","女","有","無","無","有","会社員"
"028152057","19730917","女","有","無","有","無","会社員"
"028152263","19930212","女","有","無","無","有","会社員"
"028152265","19890815","男","有","無","無","有","自営業"
"028152279","19910111","女","有","無","有","無","会社員"
"028152281","19921007","女","有","無","無","有",""
"028212203","19880819","女","有","無","有","無","パート・アルバイト"
"028232020","19740331","女","有","無","無","有","会社員"
"028232022","19650121","男","有","有","有","有","自営業"
"028232058","19710623","女","有","無","有","無","主婦"
"028252051","19691227","女","有","有","有","有","主婦"
"028252094","19900928","女","有","無","有","有","会社員"
"028312174","19670503","女","有","無","有","無","会社員"
"028312184","19811224","女","有","無","無","有",""
"028332027","19610906","女","無","有","無","有","自営業"
"028332057","19861126","女","有","有","有","有","会社員"
"028352018","19850615","男","有","無","無","有","会社員"
"028352019","19880129","男","有","無","無","有","自営業"
"028412257","19940219","女","有","無","無","有","会社員"
"028431000","19541024","女","有","有","有","無","主婦"
"028612090","19800504","男","有","有","無","有","その他"
"028632107","19930919","女","有","無","無","有","会社員"
"028652012","19810825","男","有","無","無","有","会社員"
"028812154","19920610","女","有","無","有","無","会社員"
"028852078","19811208","女","有","無","無","有","その他"
"028852080","19830126","女","有","無","無","有","会社員"
"028922009","19970404","女","有","無","無","有","学生"
"029112292","19751108","女","有","無","有","無","自営業"
"029122245","19951114","女","有","有","無","有","学生"
"029122294","19780505","女","有","無","無","有",""
"029142041","19940205","女","有","無","有","無","会社員"
"029212070","19720512","女","有","無","有","無","主婦"
"029212137","19741113","女","有","有","有","無","会社員"
"029212264","19890616","女","有","無","無","有","会社員"
"029222100","19811103","男","有","無","無","有","会社員"
"029232087","19880826","女","有","無","有","無","会社員"
"029239584","19730628","女","有","無","無","有","会社員"
"029252168","19820512","女","有","無","無","有","主婦"
"029252191","19940419","女","有","無","有","無","会社員"
"029312131","19930106","女","有","無","有","無","パート・アルバイト"
"029322150","19870330","男","有","無","無","有","会社員"
"029332139","19740320","男","有","無","無","有","会社員"
"029352007","19821126","女","有","無","無","有","会社員"
"029515211","19930122","女","有","無","有","無","その他"
"029542009","19670318","男","有","無","有","無","会社員"
"029612143","19780302","女","有","無","無","有","会社員"
"029622062","19950518","女","有","無","無","有","会社員"
"029712133","19880607","女","有","無","有","無","自営業"
"029712151","19910807","女","有","無","有","有","会社員"
"029722214","19910227","女","有","無","無","有","会社員"
"029732067","19681119","男","有","無","無","有","会社員"
"029852057","19880820","男","有","有","無","有","会社員"
"031112017","19810226","女","有","有","有","無","主婦"
"031112028","19750715","男","有","有","有","無","自営業"
"031412041","19770704","女","有","無","有","有","自営業"
"032112209","19970918","女","有","無","有","無","会社員"
"032122317","19810927","女","有","無","有","無","会社員"
"032122318","19901118","女","有","無","有","無","会社員"
"032132076","19931018","男","有","無","有","無","会社員"
"032152221","19770304","女","有","無","無","有","会社員"
"032152225","19730513","男","有","無","無","有","自営業"
"032152299","19950610","","有","無","有","無",""
"032152306","19940510","男","有","無","無","有","会社員"
"032212138","19890104","女","有","無","無","有","会社員"
"032212265","19810818","女","有","無","無","有","会社員"
"032212284","19970607","女","有","無","無","有",""
"032212296","19910926","女","有","無","無","有","会社員"
"032222115","19831002","女","有","無","無","有",""
"032222117","19870804","女","有","無","無","有","会社員"
"032222118","19950502","男","有","無","無","有","会社員"
"032252190","19920409","女","有","無","無","有","会社員"
"032252194","19930424","女","有","無","無","有","会社員"
"032252196","19851127","女","有","無","無","有","会社員"
"032312138","19780711","男","有","有","有","有","会社員"
"032312259","19860826","女","有","無","有","無","会社員"
"032312278","19800629","女","有","無","有","無","主婦"
"032312284","19570810","女","有","無","無","有","会社員"
"032322143","19941006","女","有","無","無","有","会社員"
"032332151","19850303","男","有","無","無","有","会社員"
"032352026","19960110","女","有","無","有","無","パート・アルバイト"
"032412105","19810302","女","有","無","無","有","会社員"
"032412226","19701027","男","有","無","無","有","会社員"
"032412242","19820114","男","有","無","有","有","会社員"
"032412325","19900426","女","有","無","有","無",""
"032432017","19830114","女","有","無","無","有","会社員"
"032512106","19710331","男","有","有","有","有","その他"
"032512241","19881220","女","有","無","無","有","会社員"
"032512246","19870924","女","有","無","無","有","会社員"
"032552024","19820218","女","有","無","無","有","会社員"
"032552032","19871110","女","有","有","有","有","会社員"
"032612033","19721122","女","有","無","有","無","主婦"
"032612126","19780823","女","有","無","有","無","その他"
"032612147","19930628","女","有","無","無","有","会社員"
"032632114","19650606","女","無","有","無","有","主婦"
"032632146","19950721","女","有","無","無","有","その他"
"032632148","19910101","女","有","無","無","有","会社員"
"032652006","19740326","女","有","無","有","有","その他"
"032712036","19850626","女","有","無","有","有","会社員"
"032712124","19790308","男","有","無","無","有","会社員"
"032712139","19900822","女","有","無","有","無","会社員"
"032712160","19791224","男","有","無","有","有","会社員"
"032722124","19950524","女","有","無","有","無","パート・アルバイト"
"032812119","19930112","女","有","無","有","無","学生"
"032812204","19711125","女","有","有","有","無","主婦"
"032832010","19881204","女","有","無","無","有",""
"032852118","19921126","女","有","無","無","有","会社員"
"032912086","19870519","女","有","有","無","有","会社員"
"032912087","19970831","女","有","無","有","無","学生"
"032912088","19960818","女","有","無","無","有","その他"
"034122072","19830613","女","有","無","無","有","自営業"
"034122073","19900416","女","有","無","有","無","会社員"
"034152064","19640912","男","有","無","無","有","自営業"
"034252028","19730130","女","有","無","無","有","主婦"
"034312048","19780606","女","有","無","無","有","主婦"
"034552005","19960619","女","有","有","有","無","学生"
"034552010","19840301","男","有","無","無","有","会社員"
"034812074","19910411","女","有","無","有","無","主婦"
"034912020","19961102","女","有","無","無","有","会社員"
"035112192","19920922","男","有","無","有","無",""
"035112197","19870520","女","有","無","無","有","会社員"
"035122357","19931116","男","有","無","無","有","会社員"
"035122411","19860408","女","有","無","有","無","会社員"
"035122433","19921120","女","有","無","無","有","会社員"
"035132161","19860602","女","有","無","有","無",""
"035152126","19920309","女","有","有","有","有","会社員"
"035152322","19740522","女","有","無","有","無","会社員"
"035152349","19740312","男","有","無","有","無","会社員"
"035152354","19831005","男","有","無","無","有","会社員"
"035212101","19820809","男","有","無","有","無","会社員"
"035212215","19870716","男","有","無","無","有","会社員"
"035212283","19941029","女","有","無","無","有",""
"035212289","19920622","女","有","無","有","無","会社員"
"035212295","19810709","女","有","無","有","無","会社員"
"035212312","19900821","女","有","無","有","無","会社員"
"035222088","19771001","女","有","無","無","有","会社員"
"035222096","19751215","女","有","無","無","有","会社員"
"035222125","19780307","女","有","無","無","有","その他"
"035252192","19850929","女","有","無","無","有","会社員"
"035252212","19630218","女","有","無","有","無","自営業"
"035252216","19910118","女","有","無","有","無","会社員"
"035312208","19880824","男","有","無","無","有","自営業"
"035312213","19850301","女","有","無","無","有","その他"
"035312214","19990818","女","有","無","有","無","学生"
"035322206","19850206","男","有","無","無","有","会社員"
"035322210","19930725","女","有","無","有","無","会社員"
"035322214","19961105","女","有","無","有","無",""
"035332010","19740225","男","有","有","有","有","会社員"
"035412336","19920531","女","有","無","有","無","パート・アルバイト"
"035412355","19931130","女","有","無","有","無",""
"035412372","19860701","女","有","無","有","無",""
"035412376","19790216","女","有","無","有","無","会社員"
"035432083","19900518","女","有","無","有","無",""
"035452094","19961029","男","有","無","有","無","会社員"
"035512315","19791225","女","有","無","無","有",""
"035512316","19830919","男","有","無","無","有","会社員"
"035522092","19760121","女","有","無","有","無","会社員"
"035612250","19850215","女","有","無","無","有","会社員"
"035612253","19910817","女","有","無","有","無","パート・アルバイト"
"035612265","19860425","女","有","無","有","無","会社員"
"035612268","19921003","女","有","無","無","有",""
"035622137","19920105","女","有","無","有","無","会社員"
"035632184","19950514","男","有","有","有","有","会社員"
"035632236","19920114","女","有","無","有","無","会社員"
"035652054","19890517","女","有","無","有","無","会社員"
"035652059","19960119","女","有","無","有","無","主婦"
"035712151","19600510","女","有","有","有","有","主婦"
"035712287","19911118","女","有","無","有","無",""
"035712289","19931210","女","有","無","有","無","会社員"
"035712290","19910403","男","有","無","有","無","会社員"
"035722007","19821105","女","有","有","有","有","会社員"
"035722173","19831018","男","有","無","有","無","会社員"
"035722176","19911129","女","有","無","有","無","パート・アルバイト"
"035722191","19890510","女","有","無","無","有","会社員"
"035812289","19980407","女","有","無","無","有","学生"
"035812304","19610901","男","有","無","無","有",""
"035812309","19910724","男","有","無","有","無","会社員"
"035852095","19730911","男","有","無","無","有","会社員"
"035852170","19890911","女","有","無","無","有","会社員"
"035852183","19890508","女","有","無","有","無","会社員"
"035852185","19971129","女","有","無","無","有","パート・アルバイト"
"036112245","19980619","女","有","無","無","有","学生"
"036112247","19810718","女","有","無","無","有",""
"036122398","19710619","男","有","有","有","有","会社員"
"036122450","19921221","女","有","無","有","無","会社員"
"036122479","19730510","女","有","無","無","有",""
"036122570","19931115","男","有","無","有","無","自営業"
"036122580","19830520","女","有","無","無","有","会社員"
"036132131","19941109","男","有","無","無","有","会社員"
"036142042","19861114","女","有","無","有","無","会社員"
"036152472","19880826","男","有","無","有","無","その他"
"036212048","19800124","男","有","無","無","有","会社員"
"036212128","19721101","女","有","有","有","有","会社員"
"036222170","19751114","女","有","無","有","無","会社員"
"036232144","19980819","女","有","無","有","無","会社員"
"036232173","19830423","女","有","無","無","有","会社員"
"036312347","19700302","女","無","有","無","無",""
"036322038","19610226","女","有","有","無","有","自営業"
"036322150","19860924","女","有","無","無","有","パート・アルバイト"
"036322168","19750526","男","有","有","無","有","会社員"
"036332219","19750101","女","有","無","有","無",""
"036352026","19950926","女","有","無","有","無","会社員"
"036412369","19850119","女","有","無","無","有",""
"036442008","19680211","男","有","有","有","無",""
"036512216","19771001","男","有","無","無","有","会社員"
"036512302","19631012","男","有","無","有","無","会社員"
"036522052","19850308","女","有","無","有","無","主婦"
"036542033","19760215","女","有","無","有","無","パート・アルバイト"
"036612120","19690422","男","有","無","無","有","会社員"
"036622083","19690609","男","有","無","有","無",""
"036622088","19780419","女","有","有","有","無","会社員"
"036622105","19900722","女","有","有","有","無","会社員"
"036632109","19770903","女","有","有","有","無","パート・アルバイト"
"036632132","19781125","女","有","無","無","有","会社員"
"036632142","19941221","女","有","無","無","有","会社員"
"036632149","19840210","女","有","無","無","有","会社員"
"036712181","19900811","女","有","無","有","無","会社員"
"036712187","19780307","女","有","無","無","有","会社員"
"036722153","19881209","男","有","無","無","有","会社員"
"036732014","19700626","男","有","有","有","有","会社員"
"036732049","19760405","女","有","無","有","無","パート・アルバイト"
"036812210","19750704","女","有","無","有","無","会社員"
"036812266","19891217","女","有","無","有","無","会社員"
"036812276","19720318","男","有","無","無","有","会社員"
"036852148","19570825","女","有","無","有","無","主婦"
"036852155","19830304","","有","無","有","無",""
"036912118","19920123","女","有","無","有","無","その他"
"037112229","19910621","男","有","無","有","無","会社員"
"037122094","19820816","女","有","無","有","有","自営業"
"037122252","19841121","男","有","無","無","有","会社員"
"037122481","19900116","男","有","無","有","無","その他"
"037122494","19830330","男","有","無","無","有","会社員"
"037122495","19910911","女","有","無","有","無","会社員"
"037122496","19810505","男","有","無","無","有","会社員"
"037132166","19940318","女","有","無","無","有","会社員"
"037142047","19780609","男","有","無","無","有","会社員"
"037142074","19990501","女","有","有","無","有","パート・アルバイト"
"037152043","19830405","女","有","無","有","有","会社員"
"037152362","19820228","女","有","無","有","無","パート・アルバイト"
"037152389","19810721","女","有","無","有","無","主婦"
"037152394","19840503","女","有","無","無","有","会社員"
"037152395","19920717","男","有","無","無","有","会社員"
"037212287","19920627","女","有","無","有","無","パート・アルバイト"
"037212326","19680510","女","有","有","有","無","主婦"
"037212371","19940316","女","有","無","有","無","パート・アルバイト"
"037212379","19970314","女","有","無","有","無","会社員"
"037212380","19861002","女","有","無","有","無","主婦"
"037212381","19840726","女","有","無","無","有",""
"037212382","19960227","男","有","無","無","有","会社員"
"037222064","19920913","女","有","無","有","無","会社員"
"037222119","19960108","女","有","無","有","無","会社員"
"037232174","19660730","女","有","有","無","有","パート・アルバイト"
"037232180","19860121","女","有","無","無","有","会社員"
"037240003","19940527","女","有","無","無","有","会社員"
"037252024","19770921","女","有","無","有","無","その他"
"037252202","19920222","女","有","無","有","無","会社員"
"037252219","19780608","女","有","無","無","有","自営業"
"037252220","19721113","女","有","無","有","無","自営業"
"037252221","19910405","女","有","無","無","有","会社員"
"037252222","19930812","女","有","無","有","無","パート・アルバイト"
"037252223","19900530","男","有","無","無","有","その他"
"037252225","19921123","女","有","無","有","有","会社員"
"037312102","19750904","女","有","無","有","無","会社員"
"037312261","19731214","男","有","無","有","無","会社員"
"037312263","19920725","女","有","無","有","無","会社員"
"037312264","19910425","女","無","有","無","有","その他"
"037312268","19720413","男","有","無","無","有","会社員"
"037322098","19690616","女","有","無","有","有","会社員"
"037322130","19780820","女","有","無","無","有","会社員"
"037322187","19961117","女","有","無","無","有","自営業"
"037322234","19970627","女","有","無","有","無","学生"
"037332076","19830918","男","有","無","無","有","会社員"
"037332110","19950606","女","有","無","無","有","主婦"
"037342032","19930705","女","有","無","無","有","会社員"
"037412336","19790616","男","有","無","無","有","その他"
"037412472","19821209","女","有","無","有","無","会社員"
"037452111","19930912","女","有","無","有","無","学生"
"037452116","19690703","女","有","無","有","無","会社員"
"037512077","19861111","女","有","無","無","有","会社員"
"037512356","19730901","男","有","無","無","有","会社員"
"037512363","19970710","女","有","無","有","無","会社員"
"037512364","19931227","女","有","無","無","有","会社員"
"037512366","19900127","女","有","無","有","無","会社員"
"037522060","19860210","女","有","無","無","有","会社員"
"037612201","19901108","女","有","無","有","無","パート・アルバイト"
"037612289","19941201","女","有","無","有","無","会社員"
"037612291","19820404","女","有","無","無","有","会社員"
"037622085","19780123","男","有","有","有","有","会社員"
"037622197","19650706","女","有","無","有","無","パート・アルバイト"
"037632264","19810816","女","有","有","無","有","主婦"
"037632283","19860420","女","有","無","無","有","会社員"
"037632285","19900925","男","有","無","有","無","その他"
"037632286","19870917","女","有","無","無","有","パート・アルバイト"
"037652083","19961229","女","有","有","無","有","学生"
"037712115","19850406","男","有","無","無","有","その他"
"037712348","19771019","女","有","無","有","無","その他"
"037712364","19930810","女","有","無","有","無","会社員"
"037722036","19770721","女","有","無","有","有","会社員"
"037722162","19710919","女","有","無","無","有","主婦"
"037722193","19960512","女","有","無","有","無","会社員"
"037722223","19870210","女","有","無","有","無","会社員"
"037752113","19721208","女","有","有","有","無","その他"
"037812334","19900625","女","有","無","有","無","会社員"
"037812338","19951025","女","有","無","有","無","会社員"
"037812339","19950117","女","有","無","無","有","会社員"
"037812340","19921113","女","有","無","無","有","会社員"
"037812342","19990712","女","有","無","有","無","学生"
"037852178","19990516","女","有","無","有","無","学生"
"037852184","19930608","男","有","有","有","無","会社員"
"037852188","19980204","女","有","無","有","無","その他"
"037852190","19861009","女","有","無","無","有","会社員"
"037912094","19931008","男","有","無","有","無","会社員"
"037922014","19941223","男","有","有","無","有","会社員"
"038112165","19770825","女","有","有","無","有","自営業"
"038112292","19741008","女","有","無","有","無","パート・アルバイト"
"038122056","19690105","女","有","無","無","有","その他"
"038122447","19860916","女","有","無","無","有","会社員"
"038122464","19870109","女","有","無","無","有","会社員"
"038122465","19910829","女","有","無","無","有","会社員"
"038152182","19680126","女","有","有","有","有","主婦"
"038152257","19761211","女","有","無","無","有","会社員"
"038152458","19981229","女","有","無","有","無","学生"
"038152459","19741009","女","有","無","有","無","パート・アルバイト"
"038152460","19930111","男","有","無","無","有","会社員"
"038152462","19900202","男","有","有","無","有","学生"
"038152463","19870113","女","有","無","無","有","会社員"
"038212162","19760724","女","有","有","無","有","主婦"
"038212225","19710825","女","有","無","無","有","主婦"
"038212241","19730115","男","有","有","有","無","会社員"
"038212353","19780903","女","有","無","有","無","会社員"
"038212355","19850829","女","有","無","有","無","会社員"
"038212356","19700808","男","有","無","有","無","会社員"
"038222156","19900905","女","有","無","有","無","会社員"
"038222165","19761227","男","有","無","無","有","会社員"
"038222166","19870701","女","有","無","無","有","その他"
"038232074","19871211","女","有","有","有","有",""
"038232131","19820530","女","有","無","無","有","主婦"
"038312306","19610729","女","有","無","無","有","その他"
"038312332","19810706","女","無","有","無","有","自営業"
"038312333","19780321","男","有","無","無","有","自営業"
"038312334","19940706","女","有","無","無","有","会社員"
"038322057","19710425","女","有","有","無","有","会社員"
"038322198","19821210","女","有","無","無","有","会社員"
"038322218","19931017","女","有","無","無","有","学生"
"038332200","19871217","女","有","無","無","有","会社員"
"038332202","19770528","男","有","無","無","有","会社員"
"038342029","19810929","女","有","有","無","有","会社員"
"038412429","19830421","女","有","無","有","無","会社員"
"038412440","19891112","女","有","無","無","有","会社員"
"038412441","19850829","女","有","無","無","有",""
"038412442","19971010","女","有","無","有","無","学生"
"038422032","19970906","女","有","無","無","有","学生"
"038512293","19970930","女","有","無","無","有","学生"
"038522047","19670423","男","有","有","無","有","会社員"
"038552055","19731013","男","有","無","無","有","会社員"
"038612102","19470401","女","有","無","有","無","その他"
"038612200","19910629","女","有","無","無","有","会社員"
"038612237","19780520","女","有","無","有","無","会社員"
"038632142","19750807","男","有","無","無","有","その他"
"038632186","19900324","女","有","無","有","無","自営業"
"038632190","19960913","女","有","無","有","無","会社員"
"038642006","19711125","女","有","無","無","有","自営業"
"038652081","19900921","女","有","無","無","有","会社員"
"038712150","19851025","女","有","無","無","有","会社員"
"038722183","19900723","男","有","無","有","無","会社員"
"038732072","19771129","男","有","無","無","有","会社員"
"038732074","19710319","男","有","無","無","有",""
"038812024","19750104","女","有","無","無","有",""
"038812272","19930318","男","有","無","無","有","会社員"
"038812276","19891126","女","有","無","有","無","会社員"
"038812289","19930817","男","有","無","有","無","会社員"
"038912096","19810121","男","有","無","有","有",""
"038912098","19810727","女","有","無","有","無",""
"038912099","19831205","女","有","無","無","有","会社員"
"039112075","19870828","女","有","無","無","有","会社員"
"039122064","19551101","女","無","有","無","有","その他"
"039122146","19830316","女","有","無","有","有","会社員"
"039152023","19641014","女","有","有","有","有","会社員"
"039152121","19710202","男","有","有","無","有",""
"039152125","19690405","女","有","無","有","無","会社員"
"039152139","19700302","女","有","有","有","無",""
"039212097","19700730","女","有","無","有","無","会社員"
"039212111","19620423","女","有","有","有","無","会社員"
"039232037","19640424","女","有","無","無","有","主婦"
"039252079","19641224","女","有","有","有","無",""
"039252081","19880921","男","有","無","有","無","会社員"
"039312062","19731105","女","有","無","無","有","その他"
"039312101","19700212","男","有","有","無","有","会社員"
"039412094","19791208","女","有","無","有","有","会社員"
"039432023","19721009","女","有","無","有","無","主婦"
"039432036","19701003","女","有","有","有","無","主婦"
"039512061","19830116","女","有","無","無","有","会社員"
"039612071","19940614","女","有","無","無","有","会社員"
"039622005","19660121","女","有","有","無","有","会社員"
"039622037","19761007","女","有","無","有","無","パート・アルバイト"
"039722049","19780512","女","有","無","有","無","会社員"
"040122266","19950806","女","有","有","有","無","会社員"
"040132109","19891023","男","有","無","有","無","その他"
"040132111","19840424","女","有","無","有","無","会社員"
"040152277","19640320","女","無","有","無","有","主婦"
"040212049","19900223","男","有","無","無","有",""
"040222047","19620812","女","無","有","有","無",""
"040232048","19821225","女","有","無","有","有","会社員"
"040322125","19840128","女","有","無","有","無","自営業"
"040512187","19480812","女","無","有","無","有","その他"
"040512189","19890202","女","有","無","無","有",""
"040612125","19640403","女","有","有","無","有","その他"
"040622068","19910418","女","有","無","無","有","会社員"
"040712153","19650511","女","有","無","有","無","主婦"
"040722016","19681111","女","有","有","有","無","会社員"
"040852086","19860607","女","有","無","有","無","会社員"
"041222016","19921108","女","有","有","有","有","主婦"
"041432012","19750309","女","有","無","無","有","会社員"
"042122036","19750224","女","有","有","無","有","会社員"
"042332012","19760514","女","有","無","有","無","自営業"
"042432025","19850703","女","有","無","有","有","会社員"
"042452011","19641018","女","有","有","有","有","会社員"
"042812075","19831001","女","有","無","有","無","会社員"
"043132010","19830226","女","有","無","有","有","その他"
"043132034","19681013","女","有","無","有","無","会社員"
"043142019","19881106","女","有","無","有","無","会社員"
"043152122","19710828","男","有","有","有","有","会社員"
"043152137","19751008","男","有","無","無","無","その他"
"043212095","19850222","男","有","有","有","有","会社員"
"043212102","19860806","女","有","無","無","有","パート・アルバイト"
"043312089","19930320","女","有","有","無","有","会社員"
"043332042","19940204","女","有","無","有","無","その他"
"043332052","19890713","女","有","無","有","無","会社員"
"043432021","19880620","女","有","無","無","有","会社員"
"043512008","19721130","女","無","有","有","無","自営業"
"043512057","19560416","女","無","有","有","無","主婦"
"043512097","19901207","女","有","無","無","有","会社員"
"043522030","19720623","女","有","無","無","有","会社員"
"043612059","19901015","女","有","無","無","有","会社員"
"043622028","19910409","女","有","無","有","有","会社員"
"043632041","19670912","女","有","有","無","有","主婦"
"043632057","19960323","女","有","無","有","無","その他"
"043912028","19791216","男","有","無","無","有",""
"044122116","19630624","女","有","無","有","無","会社員"
"044222005","19610927","女","有","有","有","有","その他"
"044232094","19980819","女","有","無","有","無",""
"044252063","19930310","女","有","無","有","無","会社員"
"044252070","19891104","男","有","無","無","有",""
"044252071","19721128","男","有","無","有","無","自営業"
"044252072","19930305","女","有","無","有","無","会社員"
"044312069","19921023","女","有","無","有","無","会社員"
"044312090","19960827","女","有","無","有","無","会社員"
"044412076","19751210","女","有","無","有","無","パート・アルバイト"
"044522035","19701016","女","有","無","有","無","会社員"
"044552022","19870313","女","有","無","有","無","会社員"
"044632065","19940911","女","有","無","無","有","会社員"
"044732009","19880913","女","有","無","無","有","会社員"
"044752036","19950301","男","有","無","有","無","会社員"
"044812085","19770105","女","有","無","有","無","会社員"
"044912041","19940913","女","有","無","有","無","会社員"
"045112010","19850609","女","有","無","有","有","その他"
"045112043","19680401","女","有","有","有","無","主婦"
"045112179","19920618","女","有","無","有","無","会社員"
"045112185","19960331","女","有","無","無","有","会社員"
"045112186","19590111","女","無","有","有","無","パート・アルバイト"
"045112187","19740529","女","有","無","無","有","会社員"
"045122095","19820831","女","有","無","有","無","会社員"
"045122226","19790409","女","有","無","無","有","その他"
"045122321","19740828","女","有","無","有","無","自営業"
"045132018","19830924","女","有","無","無","有","自営業"
"045152111","19800124","女","有","有","有","無","会社員"
"045152253","19700320","女","有","無","有","無","会社員"
"045152269","19951225","男","有","無","無","有","学生"
"045152270","19700907","女","有","無","有","無","会社員"
"045152297","19720817","女","有","無","有","無","会社員"
"045152298","19910328","男","有","無","無","有",""
"045212078","19821203","女","有","無","有","無","主婦"
"045212133","19831217","女","有","有","有","無","パート・アルバイト"
"045222017","19711119","男","有","無","無","有","会社員"
"045222075","19610508","女","有","有","有","無","主婦"
"045222107","19930401","女","有","無","有","無","会社員"
"045232085","19950715","女","有","無","有","無","会社員"
"045252172","19920728","女","有","無","無","有","会社員"
"045252179","19980922","女","有","無","有","無","学生"
"045312051","19840719","男","有","有","無","有","その他"
"045312058","19560905","女","無","有","有","無","主婦"
"045312184","19770905","女","有","無","有","無","会社員"
"045312245","19780322","女","有","無","無","有","会社員"
"045322022","19670307","女","有","有","有","無","主婦"
"045322136","19891010","女","有","無","無","有","主婦"
"045322142","19830921","男","有","無","無","有","会社員"
"045412012","19640403","女","有","有","無","有","会社員"
"045412179","19760114","男","有","無","無","有","会社員"
"045412219","19730913","女","有","有","有","無","パート・アルバイト"
"045412260","19780321","女","有","無","無","有",""
"045412273","19961102","女","有","無","無","有","学生"
"045452057","19930425","男","有","無","無","有","会社員"
"045452062","19880514","女","有","無","有","無","会社員"
"045452063","19890113","女","有","無","無","有","会社員"
"045452064","19930402","女","有","無","無","有","会社員"
"045512079","19590913","","有","有","有","無","会社員"
"045512086","19880625","女","有","無","無","有","会社員"
"045612049","19781218","男","有","無","無","有","会社員"
"045612126","19780310","女","有","無","無","有",""
"045612132","19830622","女","有","無","無","有","会社員"
"045612136","19820513","男","有","無","有","無","会社員"
"045632119","19831119","女","有","無","無","有","主婦"
"045632122","19940623","女","有","無","無","有",""
"045652045","19920316","女","有","無","有","無","パート・アルバイト"
"045722006","19760104","女","有","有","無","有","会社員"
"045722021","19830208","女","有","有","無","有","会社員"
"045722139","19711122","男","有","無","無","有",""
"045722150","19970528","女","有","無","有","無","会社員"
"045732016","19680510","女","有","有","有","無","会社員"
"045732052","19850918","女","有","無","有","無","会社員"
"045752080","19811112","女","有","無","無","有","会社員"
"045812055","19731003","女","有","無","無","有","会社員"
"045812089","19811216","女","有","無","有","無","会社員"
"045832002","19880727","女","有","無","無","有","会社員"
"045852088","19910121","女","有","無","無","有",""
"045912065","19940530","女","有","無","有","無","会社員"
"046812021","19770405","女","有","有","有","有","パート・アルバイト"
"047152081","19810708","女","有","無","有","無","その他"
"047312044","19811114","女","有","無","無","有","会社員"
"047412079","19620330","男","有","無","無","有","会社員"
"047722026","19880415","女","有","有","無","有","その他"
"047812016","19740628","男","有","有","有","無","会社員"
"050852023","19710227","女","有","有","有","無","パート・アルバイト"
"053112141","19760125","女","有","有","無","有","会社員"
"053112219","19731010","男","有","無","無","有","自営業"
"053112422","19820315","女","有","無","無","有",""
"053112452","19930529","女","有","無","有","無","会社員"
"053122629","19840808","女","有","無","無","有","主婦"
"053122650","19820726","女","有","無","無","有","会社員"
"053122752","19671221","男","有","有","有","有","その他"
"053122754","19750216","女","有","無","有","無","会社員"
"053122782","19960110","女","有","無","無","有","会社員"
"053122783","19650711","女","有","無","有","有","会社員"
"053122787","19810930","女","有","無","無","有","会社員"
"053122788","19910807","女","有","無","無","有","会社員"
"053122789","19621103","女","有","無","無","有","会社員"
"053122790","19900712","女","有","無","無","有","会社員"
"053122791","19920301","男","有","無","無","有","会社員"
"053132178","19920622","女","有","無","有","有","会社員"
"053132202","19850806","女","有","無","無","有","会社員"
"053132223","19870716","女","有","無","無","有","会社員"
"053132224","19960123","女","有","無","無","有","会社員"
